feature,score
rUserInfo_18,287
rThirdParty_Info_Period2_1,276
rThirdParty_Info_Period3_15,260
rThirdParty_Info_Period2_5,255
rThirdParty_Info_Period2_2,254
rThirdParty_Info_Period5_17,252
rThirdParty_Info_Period4_15,251
rThirdParty_Info_Period3_14,248
rThirdParty_Info_Period2_8,248
rThirdParty_Info_Period1_14,247
rThirdParty_Info_Period1_4,246
rThirdParty_Info_Period2_15,243
rThirdParty_Info_Period4_5,243
rThirdParty_Info_Period3_13,242
rThirdParty_Info_Period2_17,242
rThirdParty_Info_Period3_5,238
rThirdParty_Info_Period2_3,237
rThirdParty_Info_Period5_15,236
rThirdParty_Info_Period1_13,236
rThirdParty_Info_Period2_13,234
rThirdParty_Info_Period1_1,234
rThirdParty_Info_Period2_4,232
rThirdParty_Info_Period2_14,232
rThirdParty_Info_Period1_15,232
rThirdParty_Info_Period3_17,230
rThirdParty_Info_Period2_16,228
rThirdParty_Info_Period1_5,227
rThirdParty_Info_Period1_17,226
rThirdParty_Info_Period5_5,222
rThirdParty_Info_Period3_3,221
rThirdParty_Info_Period1_2,219
rThirdParty_Info_Period5_14,219
rThirdParty_Info_Period4_17,217
rThirdParty_Info_Period3_1,211
rThirdParty_Info_Period4_3,211
rThirdParty_Info_Period4_14,209
rThirdParty_Info_Period6_13,209
rThirdParty_Info_Period1_8,207
rThirdParty_Info_Period3_4,206
rThirdParty_Info_Period1_7,199
rThirdParty_Info_Period6_15,198
rThirdParty_Info_Period2_7,198
rThirdParty_Info_Period5_13,197
rThirdParty_Info_Period2_6,197
rThirdParty_Info_Period4_2,196
rThirdParty_Info_Period5_16,195
rThirdParty_Info_Period3_8,195
rThirdParty_Info_Period1_3,194
rThirdParty_Info_Period3_16,193
rWeblogInfo_7,193
rThirdParty_Info_Period1_16,190
rThirdParty_Info_Period4_4,190
rThirdParty_Info_Period4_16,188
rThirdParty_Info_Period4_13,188
rThirdParty_Info_Period3_2,185
rThirdParty_Info_Period5_2,185
rThirdParty_Info_Period3_6,182
rThirdParty_Info_Period5_1,178
rThirdParty_Info_Period5_4,178
rThirdParty_Info_Period6_3,178
rThirdParty_Info_Period5_3,175
rThirdParty_Info_Period4_1,169
rThirdParty_Info_Period6_1,167
rThirdParty_Info_Period5_8,167
rThirdParty_Info_Period6_5,164
rThirdParty_Info_Period6_16,163
rSocialNetwork_9,163
rThirdParty_Info_Period3_7,163
rThirdParty_Info_Period4_8,157
rThirdParty_Info_Period4_6,156
rSocialNetwork_8,154
rThirdParty_Info_Period4_7,153
rThirdParty_Info_Period1_6,149
rThirdParty_Info_Period6_8,149
rThirdParty_Info_Period5_6,148
rThirdParty_Info_Period6_2,148
rThirdParty_Info_Period2_11,147
rThirdParty_Info_Period6_17,145
rSocialNetwork_10,141
rWeblogInfo_17,139
rThirdParty_Info_Period6_14,134
rThirdParty_Info_Period3_11,133
rThirdParty_Info_Period6_7,133
rWeblogInfo_16,131
rThirdParty_Info_Period4_11,129
rThirdParty_Info_Period6_4,129
rWeblogInfo_18,126
rThirdParty_Info_Period1_9,126
rThirdParty_Info_Period1_11,123
rThirdParty_Info_Period5_7,122
rThirdParty_Info_Period2_9,120
rThirdParty_Info_Period6_6,119
rWeblogInfo_4,110
rWeblogInfo_15,106
rWeblogInfo_6,101
rThirdParty_Info_Period6_11,100
rThirdParty_Info_Period4_9,93
rThirdParty_Info_Period5_11,90
rThirdParty_Info_Period3_9,83
rWeblogInfo_8,82
rThirdParty_Info_Period6_9,78
rWeblogInfo_5,77
rThirdParty_Info_Period2_12,72
rThirdParty_Info_Period5_9,67
rWeblogInfo_14,66
rThirdParty_Info_Period3_12,62
rThirdParty_Info_Period1_10,58
rThirdParty_Info_Period5_12,56
rUserInfo_10,54
rWeblogInfo_24,49
rThirdParty_Info_Period6_12,46
rThirdParty_Info_Period1_12,45
rWeblogInfo_2,42
rThirdParty_Info_Period2_10,41
rSocialNetwork_13,40
rThirdParty_Info_Period3_10,36
rWeblogInfo_33,35
rThirdParty_Info_Period4_12,34
rWeblogInfo_30,33
rWeblogInfo_27,30
rThirdParty_Info_Period6_10,28
rWeblogInfo_36,28
rThirdParty_Info_Period5_10,27
rThirdParty_Info_Period4_10,25
rWeblogInfo_39,20
rSocialNetwork_14,16
rSocialNetwork_17,13
rWeblogInfo_25,12
rWeblogInfo_45,10
rWeblogInfo_42,9
rThirdParty_Info_Period7_5,7
rWeblogInfo_48,6
rSocialNetwork_3,6
rWeblogInfo_50,5
rWeblogInfo_34,5
rSocialNetwork_15,5
rWeblogInfo_3,5
rWeblogInfo_51,4
rSocialNetwork_4,4
rSocialNetwork_5,4
rThirdParty_Info_Period7_13,4
rThirdParty_Info_Period7_8,4
rThirdParty_Info_Period7_2,4
rWeblogInfo_28,3
rWeblogInfo_26,3
rThirdParty_Info_Period7_6,3
rThirdParty_Info_Period7_7,3
rWeblogInfo_38,2
rWeblogInfo_32,2
rWeblogInfo_35,2
rThirdParty_Info_Period7_15,2
rThirdParty_Info_Period7_16,2
rThirdParty_Info_Period7_17,2
rThirdParty_Info_Period7_11,2
rWeblogInfo_9,2
rThirdParty_Info_Period7_4,2
rWeblogInfo_1,2
rWeblogInfo_53,1
rWeblogInfo_56,1
rSocialNetwork_16,1
rWeblogInfo_29,1
rThirdParty_Info_Period7_9,1
rThirdParty_Info_Period7_3,1
rThirdParty_Info_Period7_1,1
rWeblogInfo_12,1
