,C,loss
21,0.00292125641654,-0.766332363125
24,0.00248416493909,-0.766318792941
17,0.00328301049082,-0.766313875932
23,0.00370695159391,-0.766256589977
6,0.0020536960974,-0.766190239612
9,0.00443508070972,-0.76609613285
26,0.00173492409107,-0.765990505592
29,0.00525050435332,-0.765867569468
8,0.00105504163165,-0.764832038738
11,0.00920724628046,-0.76482021908
20,0.00987518957536,-0.764654056818
2,0.000943829057446,-0.764450459429
22,0.0110623648933,-0.764394169006
27,0.0142651585857,-0.763721795427
12,0.00074661388492,-0.763490091415
1,0.000732625871075,-0.763402612163
7,0.000693782156467,-0.76313484899
3,0.000578710587562,-0.762148873307
4,0.0375602288054,-0.760860740486
5,0.0386476582994,-0.760776276071
18,0.0399009320022,-0.760668703128
13,0.0429109706852,-0.760439930158
15,0.0689871486175,-0.759054294255
10,0.0720594683303,-0.758939329826
25,0.000344544499242,-0.758676056547
19,0.0797345230594,-0.758666515694
16,0.000229751414519,-0.75510313979
14,9.46161697283e-05,-0.745076602716
28,6.24384510768e-05,-0.739471118933
0,4.67196965497e-05,-0.735188229924
